evaluation_order,source_window_index
0,11
1,12
2,14
3,16
4,21
5,29
6,30
7,31
8,33
9,43
10,45
11,48
12,55
13,56
14,63
15,72
16,76
17,82
18,83
19,84
20,96
21,102
22,108
23,113
24,121
25,124
26,129
27,135
28,137
29,138
30,139
31,142
32,144
33,147
34,148
35,149
36,150
37,157
38,159
39,160
40,170
41,174
42,176
43,182
44,185
45,189
46,192
47,194
48,196
49,199
50,200
51,204
52,205
53,208
54,215
55,216
56,221
57,231
58,237
59,239
60,242
61,245
62,248
63,250
64,251
65,253
66,257
67,261
68,262
69,264
70,267
71,273
72,277
73,279
74,281
75,287
76,288
77,289
78,294
79,300
80,302
81,312
82,316
83,323
84,324
85,326
86,327
87,328
88,335
89,340
90,344
91,345
92,348
93,350
94,353
95,357
96,369
97,374
98,375
99,396
100,403
101,404
102,411
103,412
104,413
105,416
106,419
107,421
108,422
109,427
110,435
111,442
112,444
113,449
114,456
115,460
116,467
117,469
118,472
119,474
120,481
121,485
122,490
123,497
124,503
125,505
126,506
127,507
128,509
129,510
130,511
131,512
132,517
133,525
134,536
135,541
136,546
137,549
138,560
139,561
140,563
141,566
142,573
143,584
144,588
145,589
146,597
147,599
148,602
149,608
150,610
151,613
152,614
153,615
154,623
155,630
156,633
157,634
158,641
159,647
160,650
161,652
162,654
163,655
164,661
165,663
166,664
167,667
168,670
169,679
170,683
171,689
172,692
173,693
174,695
175,698
176,712
177,719
178,725
179,727
180,728
181,729
182,737
183,740
184,742
185,745
186,747
187,750
188,753
189,754
190,755
191,756
192,761
193,762
194,771
195,777
196,786
197,788
198,789
199,791
200,793
201,794
202,797
203,801
204,806
205,816
206,824
207,826
208,831
209,833
210,837
211,838
212,844
213,848
214,853
215,862
216,864
217,867
218,869
219,871
220,876
221,880
222,884
223,886
224,894
225,896
226,900
227,906
228,915
229,916
230,918
231,920
232,924
233,926
234,929
235,935
236,936
237,937
238,938
239,939
240,940
241,946
242,961
243,965
244,966
245,975
246,976
247,977
248,987
249,990
250,999
251,1005
252,1015
253,1019
254,1022
255,1027
256,1030
257,1034
258,1043
259,1045
260,1046
261,1049
262,1051
263,1067
264,1068
265,1069
266,1070
267,1072
268,1075
269,1077
270,1078
271,1087
272,1089
273,1097
274,1099
275,1102
276,1114
277,1116
278,1118
279,1121
280,1126
281,1129
282,1134
283,1137
284,1138
285,1148
286,1150
287,1151
288,1152
289,1154
290,1158
291,1163
292,1164
293,1171
294,1172
295,1175
296,1176
297,1181
298,1182
299,1184
300,1186
301,1188
302,1189
303,1193
304,1197
305,1198
306,1199
307,1223
308,1224
